
time,time ns,angle,cadence,motorTargetCadence,pid,corrente effettiva Quad Sx,corrente effettiva Glut Sx,corrente effettiva Hams Sx,corrente effettiva Gastro Sx,corrente effettiva Quad Dx,corrente effettiva Glut Dx,corrente effettiva Hams Dx,corrente effettiva Gastro Dx,duty_cycle,motor_current,stimDistance,totalDistance,linearVelocity,powerLeft,powerRight,newDataLeft,newDataRight,connectedLeft,connectedRight,heart-rate

425791,588675238,119.963,0,40,0,0,0,0,0,0,0,0,0,30,63,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425807,604605201,120.491,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425811,608651775,120.996,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425821,618651424,121.567,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425831,628651312,122.029,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425841,638653572,122.556,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425851,648650831,123.149,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425861,658651479,123.699,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425871,668705905,124.336,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425881,678637738,124.841,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425891,688640924,125.391,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425901,698640498,125.918,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425911,708642201,126.489,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425921,718638998,126.995,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425931,728635572,127.522,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425941,738641942,128.137,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425951,748639238,128.687,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425961,758638053,129.324,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425971,768666831,129.895,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425981,778652998,130.51,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
425991,788651423,131.169,0,40,0,0,0,0,0,0,0,0,0,35,79.488,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426004,801604257,131.785,0,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426011,808662460,132.422,0,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426021,818663275,133.081,21.472,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426031,828653386,133.696,11.7404,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426041,838661738,134.421,8.34713,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426051,848654609,135.125,7.16399,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426061,858654683,135.828,6.75145,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426071,868656146,136.597,6.60761,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426081,878638423,137.234,6.55745,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426091,888638664,137.981,6.53996,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426101,898637720,138.64,6.53387,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426111,908644053,139.409,6.53174,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426121,918638146,140.09,6.531,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426131,928637979,140.815,6.53074,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426141,938662368,141.628,6.53065,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426151,948637923,142.31,6.53062,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426161,958637275,143.101,6.53061,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426171,968638164,143.826,6.5306,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426181,978675590,144.573,6.5306,40,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426191,988682183,145.342,6.5306,45,0,0,0,0,0,0,0,0,0,40,101.052,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426210,1007651071,146.067,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426211,1008693720,146.902,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426221,1018663108,147.715,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426231,1028662442,148.572,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426241,1038665979,149.385,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426251,1048661201,150.264,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426261,1058662090,151.143,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426271,1068663460,152.109,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426281,1078647553,152.944,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426291,1088647738,153.801,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426301,1098647275,154.79,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426311,1108649349,155.691,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426321,1118647127,156.57,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426331,1128646479,157.493,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426341,1138653220,158.481,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426351,1148653682,159.404,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426361,1158648997,160.327,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426371,1168648868,161.184,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426381,1178647849,162.129,6.5306,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426391,1188651645,163.14,7.23153,45,0,0,0,0,0,0,0,0,0,45,126.576,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426407,1204671071,164.128,11.3403,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426411,1208649886,165.029,12.773,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426421,1218647516,166.018,13.2725,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426431,1228647405,166.919,13.4467,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426441,1238646886,168.062,13.5074,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426451,1248638905,169.028,13.5286,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426461,1258655627,170.149,13.536,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426471,1268646164,171.248,13.5385,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426481,1278666701,172.346,13.5394,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
