
time,time ns,angle,cadence,motorTargetCadence,pid,corrente effettiva Quad Sx,corrente effettiva Glut Sx,corrente effettiva Hams Sx,corrente effettiva Gastro Sx,corrente effettiva Quad Dx,corrente effettiva Glut Dx,corrente effettiva Hams Dx,corrente effettiva Gastro Dx,duty_cycle,motor_current,stimDistance,totalDistance,linearVelocity,powerLeft,powerRight,newDataLeft,newDataRight,connectedLeft,connectedRight,heart-rate

136511,-927705813,178.674,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136521,-918592128,178.674,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136531,-908589942,178.652,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136541,-898591405,178.608,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136551,-888591665,178.718,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136561,-878591850,178.674,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136571,-868591609,178.696,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136581,-858591554,178.696,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136591,-848591739,178.718,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136616,-822775646,178.718,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136617,-822305387,178.718,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136621,-818590961,178.74,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136631,-808591294,178.652,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136641,-798591887,178.696,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136651,-788591405,178.696,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136661,-778591961,178.74,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136671,-768591850,178.718,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136681,-758592202,178.652,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136691,-748592146,178.696,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136701,-738590961,178.674,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136711,-728591628,178.652,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136721,-718591702,178.696,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136731,-708590517,178.652,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136741,-698591980,178.74,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136751,-688591739,178.652,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136761,-678580683,178.63,0,5,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136771,-668591146,178.696,0,5,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136781,-658591850,178.784,0,5,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136791,-648591794,178.696,0,5,0,0,0,0,0,0,0,0,0,0,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136814,-624728757,178.696,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136815,-624263961,178.652,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136821,-618591350,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136831,-608589924,178.696,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136841,-598591980,178.74,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136851,-588591720,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136861,-578591980,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136871,-568529461,178.696,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136881,-558526887,178.696,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136891,-548529702,178.652,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136901,-538528683,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136911,-528529887,178.652,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136921,-518529591,178.74,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136931,-508526202,178.696,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136941,-498529887,178.63,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136951,-488529850,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136961,-478530128,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136971,-468543239,178.696,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136981,-458544702,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
136991,-448544665,178.674,0,5,0,0,0,0,0,0,0,0,0,4,-0,0,35.632,2.0873,0,0,0,0,1,1,0
137012,-427635017,178.674,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137013,-425873406,178.762,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137021,-418536165,178.74,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137031,-408534924,178.718,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137041,-398544258,178.696,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137051,-388544498,178.696,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137061,-378544665,178.718,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137071,-368529146,178.784,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137081,-358527443,178.674,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137091,-348539313,178.674,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137101,-338537072,178.674,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137111,-328537980,178.718,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137121,-318530461,178.74,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137131,-308538739,178.718,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
137141,-298550332,178.74,0,5,0,0,0,0,0,0,0,0,0,5,0.45,0,35.632,2.0873,0,0,0,0,1,1,0
