TIMESTAMP ABSOLUTE;TIMESTAMP RELATIVE;NECK FLEXION-EXTENSION;NECK LATERAL BENDING;NECK ROTATION;TRUNK FLEXION-EXTENSION;TRUNK LATERAL BENDING;TRUNK ROTATION;SPINE FLEXION-EXTENSION;SPINE LATERAL BENDING;SPINE ROTATION;ARMS OPENING;PELVIS TILT;PELVIS LATERAL BENDING;PELVIS ROTATION;SHOULDER FLEXION-EXTENSION RIGHT;SHOULDER ABDUCTION-ADDUCTION RIGHT;SHOULDER ROTATION RIGHT;SHOULDER FLEXION-EXTENSION LEFT;SHOULDER ABDUCTION-ADDUCTION LEFT;SHOULDER ROTATION LEFT;ARM UPLIFT RIGHT;ARM ROTATION RIGHT;ARM UPLIFT LEFT;ARM ROTATION LEFT;ELBOW FLEXION-EXTENSION RIGHT;ELBOW PRONATION AND SUPINATION RIGHT;ELBOW FLEXION-EXTENSION LEFT;ELBOW PRONATION AND SUPINATION LEFT;WRIST FLEXION-EXTENSION RIGHT;WRIST ULNAR RADIAL DEVIATION RIGHT;WRIST ROTATION RIGHT;WRIST FLEXION-EXTENSION LEFT;WRIST ULNAR RADIAL DEVIATION LEFT;WRIST ROTATION LEFT;HIP FLEXION-EXTENSION RIGHT;HIP ABDUCTION-ADDUCTION RIGHT;HIP ROTATION RIGHT;HIP FLEXION-EXTENSION LEFT;HIP ABDUCTION-ADDUCTION LEFT;HIP ROTATION LEFT;KNEE FLEXION-EXTENSION RIGHT;KNEE VARUS-VALGUS RIGHT;KNEE ROTATION RIGHT;KNEE FLEXION-EXTENSION LEFT;KNEE VARUS-VALGUS LEFT;KNEE ROTATION LEFT;ANKLE DORSIFLEXION-PLANTARFLEXION RIGHT;ANKLE INVERSION-EVERSION RIGHT;ANKLE ROTATION RIGHT;ANKLE DORSIFLEXION-PLANTARFLEXION LEFT;ANKLE INVERSION-EVERSION LEFT;ANKLE ROTATION LEFT
0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.00;0.00;0.00;0.00;90.00;90.00;0.00;90.00;90.00;0.00;90.00;0.00;90.00;0.00;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.00;0.00;0.00;0.00;90.00;90.00;0.00;90.00;90.00;0.00;90.00;0.00;90.00;0.00;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.022;0.022;0.61;3.65;1.32;-0.61;-3.65;-1.32;4.35;-9.20;-19.32;180.00;-6.15;5.96;17.74;159.46;93.63;0.00;-20.54;86.37;0.00;93.63;1.36;86.37;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.04;5.53;-10.85;-10.70;-0.00;25.80;-7.93;4.89;-17.53;-3.66;-2.42;-14.16;-1.48;3.76;9.47;-1.99;5.01;-4.08
0.032;0.032;0.61;3.63;1.33;-0.61;-3.63;-1.33;4.40;-9.21;-19.32;180.00;-6.19;5.98;17.74;159.32;93.62;0.00;-20.68;86.38;0.00;93.62;1.36;86.38;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.08;5.55;-10.84;-10.75;-0.03;25.79;-7.93;4.90;-17.54;-3.67;-2.41;-14.16;-1.48;3.75;9.47;-2.00;5.01;-4.09
0.042;0.042;0.61;3.63;1.33;-0.61;-3.63;-1.33;4.44;-9.23;-19.31;180.00;-6.22;6.00;17.73;159.27;93.61;0.00;-20.73;86.39;0.00;93.61;1.37;86.39;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.11;5.56;-10.82;-10.79;-0.05;25.78;-7.93;4.90;-17.55;-3.69;-2.41;-14.15;-1.48;3.75;9.47;-2.01;5.01;-4.08
0.052;0.052;0.61;3.61;1.33;-0.61;-3.61;-1.33;4.47;-9.22;-19.31;180.00;-6.24;6.01;17.73;159.19;93.60;0.00;-20.81;86.40;0.00;93.60;1.37;86.40;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.13;5.57;-10.81;-10.81;-0.06;25.77;-7.93;4.90;-17.56;-3.69;-2.41;-14.16;-1.48;3.75;9.47;-2.01;5.01;-4.08
0.062;0.062;0.61;3.61;1.33;-0.61;-3.61;-1.33;4.50;-9.24;-19.30;180.00;-6.27;6.02;17.72;159.19;93.60;0.00;-20.81;86.40;0.00;93.60;1.37;86.40;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.16;5.58;-10.80;-10.85;-0.07;25.77;-7.92;4.90;-17.56;-3.70;-2.41;-14.16;-1.47;3.75;9.47;-2.01;5.01;-4.08
0.072;0.072;0.60;3.58;1.32;-0.60;-3.58;-1.32;4.54;-9.22;-19.29;180.00;-6.30;6.03;17.72;159.07;93.56;0.00;-20.93;86.44;0.00;93.56;1.36;86.44;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.18;5.59;-10.79;-10.88;-0.08;25.77;-7.92;4.90;-17.57;-3.71;-2.41;-14.16;-1.48;3.75;9.47;-2.01;5.01;-4.08
0.082;0.082;0.60;3.58;1.32;-0.60;-3.58;-1.32;4.56;-9.22;-19.29;180.00;-6.32;6.04;17.72;159.07;93.56;0.00;-20.93;86.44;0.00;93.56;1.36;86.44;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.19;5.59;-10.78;-10.90;-0.09;25.77;-7.91;4.90;-17.58;-3.72;-2.41;-14.16;-1.47;3.75;9.47;-2.01;5.01;-4.08
0.092;0.092;0.59;3.56;1.33;-0.59;-3.56;-1.33;4.59;-9.21;-19.29;180.00;-6.33;6.04;17.72;159.00;93.55;0.00;-21.00;86.45;0.00;93.55;1.36;86.45;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.20;5.59;-10.77;-10.92;-0.09;25.77;-7.90;4.90;-17.58;-3.73;-2.41;-14.16;-1.46;3.75;9.47;-2.01;5.01;-4.08
0.102;0.102;0.59;3.56;1.33;-0.59;-3.56;-1.33;4.60;-9.21;-19.29;180.00;-6.35;6.04;17.72;159.00;93.55;0.00;-21.00;86.45;0.00;93.55;1.36;86.45;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.21;5.59;-10.77;-10.93;-0.09;25.77;-7.89;4.90;-17.59;-3.73;-2.40;-14.16;-1.46;3.75;9.47;-2.01;5.02;-4.08
0.112;0.112;0.57;3.53;1.33;-0.57;-3.53;-1.33;4.65;-9.19;-19.29;180.00;-6.36;6.04;17.72;158.75;93.51;0.00;-21.25;86.49;0.00;93.51;1.37;86.49;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.23;5.59;-10.77;-10.95;-0.09;25.77;-7.88;4.90;-17.59;-3.73;-2.40;-14.16;-1.45;3.75;9.47;-2.01;5.02;-4.08
0.122;0.122;0.57;3.53;1.33;-0.57;-3.53;-1.33;4.67;-9.19;-19.30;180.00;-6.38;6.05;17.72;158.75;93.51;0.00;-21.25;86.49;0.00;93.51;1.37;86.49;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.25;5.60;-10.77;-10.97;-0.10;25.78;-7.88;4.90;-17.59;-3.73;-2.40;-14.13;-1.45;3.75;9.47;-2.01;5.02;-4.11
0.132;0.132;0.55;3.49;1.33;-0.55;-3.49;-1.33;4.74;-9.18;-19.30;180.00;-6.42;6.06;17.73;158.60;93.48;0.00;-21.40;86.52;0.00;93.48;1.36;86.52;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.28;5.62;-10.78;-11.00;-0.12;25.80;-7.87;4.90;-17.59;-3.72;-2.40;-14.14;-1.44;3.75;9.47;-2.00;5.02;-4.11
0.142;0.142;0.53;3.48;1.33;-0.53;-3.48;-1.33;4.77;-9.18;-19.30;180.00;-6.44;6.07;17.74;158.56;93.47;0.00;-21.44;86.53;0.00;93.47;1.36;86.53;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.30;5.63;-10.79;-11.01;-0.12;25.81;-7.86;4.90;-17.58;-3.71;-2.40;-14.15;-1.43;3.75;9.47;-1.99;5.02;-4.11
0.152;0.152;0.52;3.47;1.33;-0.52;-3.47;-1.33;4.80;-9.18;-19.30;180.00;-6.45;6.07;17.74;158.55;93.46;0.00;-21.45;86.54;0.00;93.46;1.36;86.54;-1.36;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.32;5.63;-10.79;-11.03;-0.13;25.82;-7.86;4.89;-17.58;-3.70;-2.40;-14.15;-1.43;3.74;9.47;-1.99;5.02;-4.12
0.162;0.162;0.52;3.46;1.32;-0.52;-3.46;-1.32;4.82;-9.17;-19.30;180.00;-6.46;6.07;17.74;158.55;93.45;0.00;-21.45;86.55;0.00;93.45;1.35;86.55;-1.35;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.33;5.64;-10.80;-11.03;-0.13;25.82;-7.86;4.89;-17.58;-3.69;-2.41;-14.14;-1.42;3.74;9.47;-1.98;5.02;-4.13
0.172;0.172;0.51;3.45;1.32;-0.51;-3.45;-1.32;4.83;-9.16;-19.30;180.00;-6.47;6.07;17.75;158.52;93.44;0.00;-21.48;86.56;0.00;93.44;1.35;86.56;-1.35;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.34;5.64;-10.80;-11.04;-0.13;25.83;-7.85;4.89;-17.58;-3.69;-2.41;-14.15;-1.42;3.75;9.47;-1.98;5.02;-4.13
0.182;0.182;0.50;3.44;1.32;-0.50;-3.44;-1.32;4.85;-9.15;-19.30;180.00;-6.47;6.07;17.75;158.49;93.43;0.00;-21.51;86.57;0.00;93.43;1.35;86.57;-1.35;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.34;5.64;-10.80;-11.04;-0.13;25.84;-7.85;4.89;-17.57;-3.68;-2.41;-14.15;-1.41;3.75;9.47;-1.97;5.01;-4.14
0.192;0.192;0.50;3.43;1.32;-0.50;-3.43;-1.32;4.86;-9.14;-19.30;180.00;-6.47;6.06;17.75;158.41;93.42;0.00;-21.59;86.58;0.00;93.42;1.35;86.58;-1.35;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.34;5.63;-10.81;-11.05;-0.12;25.85;-7.84;4.89;-17.57;-3.68;-2.41;-14.15;-1.41;3.75;9.47;-1.96;5.01;-4.14
0.202;0.202;0.50;3.43;1.32;-0.50;-3.43;-1.32;4.87;-9.14;-19.30;180.00;-6.48;6.06;17.75;158.41;93.42;0.00;-21.59;86.58;0.00;93.42;1.35;86.58;-1.35;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.35;5.63;-10.81;-11.06;-0.11;25.84;-7.84;4.89;-17.56;-3.68;-2.42;-14.14;-1.40;3.75;9.47;-1.96;5.01;-4.15
0.212;0.212;0.48;3.41;1.34;-0.48;-3.41;-1.34;4.89;-9.12;-19.31;180.00;-6.48;6.06;17.74;158.03;93.40;0.00;-21.97;86.60;0.00;93.39;1.37;86.61;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.35;5.63;-10.80;-11.07;-0.12;25.83;-7.83;4.89;-17.56;-3.69;-2.42;-14.13;-1.39;3.75;9.47;-1.95;5.02;-4.15
0.222;0.222;0.48;3.41;1.34;-0.48;-3.41;-1.34;4.91;-9.12;-19.30;180.00;-6.49;6.06;17.73;158.03;93.40;0.00;-21.97;86.60;0.00;93.39;1.37;86.61;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.36;5.64;-10.79;-11.09;-0.12;25.82;-7.83;4.89;-17.57;-3.69;-2.42;-14.13;-1.39;3.75;9.47;-1.95;5.02;-4.15
0.232;0.232;0.48;3.40;1.34;-0.48;-3.40;-1.34;4.93;-9.12;-19.30;180.00;-6.51;6.07;17.73;157.94;93.39;0.00;-22.06;86.61;0.00;93.39;1.37;86.61;-1.37;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.38;5.65;-10.78;-11.11;-0.13;25.80;-7.81;4.89;-17.57;-3.70;-2.42;-14.12;-1.38;3.75;9.46;-1.95;5.02;-4.15
0.242;0.242;0.48;3.39;1.35;-0.48;-3.39;-1.35;4.95;-9.12;-19.30;180.00;-6.53;6.08;17.72;157.77;93.38;0.00;-22.23;86.62;0.00;93.38;1.38;86.62;-1.38;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.40;5.66;-10.77;-11.13;-0.14;25.79;-7.81;4.89;-17.57;-3.70;-2.41;-14.11;-1.37;3.75;9.46;-1.94;5.02;-4.15
0.252;0.252;0.48;3.38;1.36;-0.48;-3.38;-1.36;4.97;-9.12;-19.30;180.00;-6.54;6.08;17.72;157.58;93.37;0.00;-22.42;86.63;0.00;93.37;1.39;86.63;-1.39;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.41;5.66;-10.76;-11.14;-0.15;25.78;-7.80;4.89;-17.57;-3.70;-2.41;-14.11;-1.37;3.75;9.46;-1.94;5.02;-4.15
0.262;0.262;0.47;3.38;1.37;-0.47;-3.38;-1.37;4.99;-9.12;-19.30;180.00;-6.56;6.09;17.71;157.38;93.36;0.00;-22.62;86.64;0.00;93.36;1.40;86.64;-1.40;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.42;5.67;-10.74;-11.16;-0.16;25.78;-7.79;4.89;-17.58;-3.70;-2.41;-14.12;-1.36;3.75;9.46;-1.94;5.02;-4.15
0.272;0.272;0.47;3.37;1.38;-0.47;-3.37;-1.38;5.01;-9.12;-19.30;180.00;-6.58;6.10;17.70;157.19;93.36;0.00;-22.81;86.64;0.00;93.35;1.41;86.65;-1.41;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.44;5.68;-10.73;-11.18;-0.17;25.78;-7.78;4.88;-17.58;-3.70;-2.40;-14.13;-1.35;3.75;9.46;-1.93;5.02;-4.15
0.282;0.282;0.47;3.35;1.40;-0.47;-3.35;-1.40;5.03;-9.11;-19.31;180.00;-6.59;6.10;17.69;156.83;93.34;0.00;-23.17;86.66;0.00;93.34;1.43;86.66;-1.43;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.45;5.69;-10.72;-11.20;-0.19;25.80;-7.77;4.88;-17.58;-3.70;-2.40;-14.16;-1.34;3.75;9.46;-1.92;5.01;-4.15
0.292;0.292;0.47;3.34;1.40;-0.47;-3.34;-1.40;5.04;-9.11;-19.31;180.00;-6.60;6.11;17.69;156.75;93.33;0.00;-23.25;86.67;0.00;93.33;1.43;86.67;-1.43;0.00;90.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;-12.46;5.70;-10.72;-11.21;-0.19;25.80;-7.76;4.88;-17.58;-3.69;-2.40;-14.17;-1.33;3.75;9.46;-1.91;5.01;-4.15
